,sentiments_x2
525,Not Valid
526,Not Valid
527,0.12368336319923401
528,0.5
529,Not Valid
530,0.980427622795105
531,0.9595838189125061
532,0.5
533,0.06357860565185547
534,0.19067317247390747
535,0.008063346147537231
536,0.022169381380081177
537,Not Valid
538,Not Valid
539,0.16210335493087769
540,0.013417184352874756
541,Not Valid
542,Not Valid
543,Not Valid
544,0.7640407085418701
545,0.11199778318405151
546,Not Valid
547,Not Valid
548,0.023823976516723633
549,0.2146732211112976
550,Not Valid
551,0.9910765886306763
552,0.0022556185722351074
553,Not Valid
554,Not Valid
555,0.07399192452430725
556,0.8397712707519531
557,0.061512500047683716
558,0.1504439413547516
559,Not Valid
560,0.993338942527771
561,Not Valid
562,0.6890214681625366
563,0.10376721620559692
564,Not Valid
565,0.22600755095481873
566,Not Valid
567,0.9474788904190063
568,Not Valid
569,Not Valid
570,Not Valid
571,Not Valid
572,Not Valid
573,Not Valid
574,Not Valid
575,0.2638354003429413
576,Not Valid
577,0.05783355236053467
578,0.05092215538024902
579,Not Valid
580,0.5
581,0.17166510224342346
582,0.03268951177597046
583,0.051132410764694214
584,0.1454080045223236
585,Not Valid
586,0.9540703296661377
587,0.061512500047683716
588,0.9351065158843994
589,0.19281509518623352
590,0.11151647567749023
591,0.12995651364326477
592,Not Valid
593,0.003254443407058716
594,0.061512500047683716
595,0.8134594559669495
596,0.9244078993797302
597,Not Valid
598,0.5
599,0.9411322474479675
600,0.5
601,0.8595873713493347
602,0.9213778972625732
603,0.061512500047683716
604,Not Valid
605,0.9873141050338745
606,0.1407000720500946
607,0.24692681431770325
608,Not Valid
609,Not Valid
610,0.9450784921646118
611,0.01498839259147644
612,0.03961572051048279
613,0.061512500047683716
614,Not Valid
615,0.027959734201431274
616,0.13812673091888428
617,0.9717051982879639
618,0.2955359220504761
619,0.8163754343986511
620,0.8509334325790405
621,Not Valid
622,0.13617771863937378
623,Not Valid
624,0.8310926556587219
625,Not Valid
626,Not Valid
627,Not Valid
628,0.9946795701980591
629,0.9178125858306885
630,Not Valid
631,0.9382549524307251
632,0.9128957986831665
633,0.9235421419143677
634,0.8454326391220093
635,0.07461446523666382
636,Not Valid
637,0.7625927925109863
638,0.8160604238510132
639,0.01158374547958374
640,0.8206940293312073
641,0.1435336172580719
642,0.10817179083824158
643,Not Valid
644,Not Valid
645,Not Valid
646,Not Valid
647,Not Valid
648,Not Valid
649,Not Valid
650,0.8599855899810791
651,Not Valid
652,0.8887894153594971
653,Not Valid
654,Not Valid
655,0.23502179980278015
656,0.19448134303092957
657,Not Valid
658,Not Valid
659,0.8079211711883545
660,0.9430222511291504
661,0.8732436895370483
662,Not Valid
663,Not Valid
664,Not Valid
665,Not Valid
666,0.7659699320793152
667,Not Valid
668,0.2527388632297516
669,0.9462381601333618
670,0.760814905166626
671,Not Valid
672,0.5
673,Not Valid
674,Not Valid
675,0.5
676,Not Valid
677,Not Valid
678,0.9919455647468567
679,Not Valid
680,Not Valid
681,Not Valid
682,Not Valid
683,Not Valid
684,Not Valid
685,Not Valid
686,Not Valid
687,0.8830235004425049
688,0.5
689,Not Valid
690,0.019992202520370483
691,Not Valid
692,0.8633558750152588
693,0.05266210436820984
694,0.9916931390762329
695,0.9487059712409973
696,0.02054557204246521
697,0.08405396342277527
698,Not Valid
699,0.7832568883895874
700,Not Valid
701,Not Valid
702,Not Valid
703,Not Valid
704,0.7577389478683472
705,0.08272400498390198
706,Not Valid
707,0.8257256746292114
708,0.01100832223892212
709,0.8397712707519531
710,Not Valid
711,0.15827199816703796
712,0.03877556324005127
713,Not Valid
714,0.2170962691307068
715,Not Valid
716,Not Valid
717,Not Valid
718,0.5
719,0.04160553216934204
720,Not Valid
721,0.1473652720451355
722,Not Valid
723,0.8771277070045471
724,Not Valid
725,0.18348529934883118
726,Not Valid
727,0.2180955410003662
728,Not Valid
729,Not Valid
730,Not Valid
731,Not Valid
732,0.9913992881774902
733,Not Valid
734,0.7058745622634888
735,Not Valid
736,Not Valid
737,Not Valid
738,0.8225545883178711
739,Not Valid
740,Not Valid
741,Not Valid
742,Not Valid
743,Not Valid
744,0.043905168771743774
745,0.061512500047683716
746,Not Valid
747,0.7029555439949036
748,0.07506400346755981
749,0.8245915174484253
750,0.1527874767780304
751,0.13037684559822083
752,Not Valid
753,0.5
754,0.12883293628692627
755,Not Valid
756,Not Valid
757,Not Valid
758,Not Valid
759,0.8496764898300171
760,0.015663623809814453
