,0
145,0.5
146,0.6792402863502502
147,0.011911094188690186
148,0.16767463088035583
149,Not Valid
150,0.19647997617721558
151,0.1022011935710907
152,Not Valid
153,Not Valid
154,0.12680593132972717
155,0.5
156,0.8772482872009277
157,0.5
158,Not Valid
159,Not Valid
160,0.15172725915908813
161,Not Valid
162,0.5
163,Not Valid
164,Not Valid
165,Not Valid
166,0.138312429189682
167,0.2646227180957794
168,0.1613815426826477
169,Not Valid
170,0.9738658666610718
171,0.8083110451698303
172,0.2587406635284424
173,0.11508837342262268
174,0.5
175,Not Valid
176,Not Valid
177,Not Valid
178,Not Valid
179,Not Valid
180,0.11114823818206787
181,0.006704241037368774
182,0.1687583327293396
183,0.22833499312400818
184,0.9929683208465576
185,Not Valid
186,0.9066768884658813
187,Not Valid
188,0.8057814836502075
189,0.21526223421096802
190,0.10347053408622742
191,0.10853758454322815
192,0.2850489020347595
193,0.5
194,0.24162212014198303
195,Not Valid
196,Not Valid
197,Not Valid
198,0.13058120012283325
199,Not Valid
200,0.5
201,0.7840807437896729
202,Not Valid
203,Not Valid
204,Not Valid
205,0.028512656688690186
206,Not Valid
207,Not Valid
208,Not Valid
209,0.016586989164352417
210,Not Valid
211,Not Valid
212,0.18842735886573792
213,Not Valid
214,0.9106058478355408
215,0.24770855903625488
216,Not Valid
217,0.7374621629714966
218,0.8397555947303772
219,Not Valid
220,0.9553223252296448
221,Not Valid
222,Not Valid
223,0.5
224,Not Valid
225,Not Valid
226,0.2755219340324402
227,0.5
228,0.9964991807937622
229,Not Valid
230,Not Valid
231,Not Valid
232,Not Valid
233,Not Valid
234,0.9768682718276978
235,Not Valid
236,Not Valid
237,Not Valid
238,0.23026230931282043
239,0.8479591608047485
240,0.9870002865791321
241,Not Valid
242,0.9690853357315063
243,0.8171314001083374
244,0.9370384216308594
245,0.9742411375045776
246,0.05165606737136841
247,Not Valid
248,Not Valid
249,0.9008556008338928
250,Not Valid
251,0.9553120136260986
252,0.994075357913971
253,0.752395749092102
254,Not Valid
255,0.9206781387329102
256,0.5
257,0.24230432510375977
258,0.9908857345581055
259,0.08547991514205933
260,Not Valid
261,Not Valid
262,Not Valid
263,0.09941685199737549
264,0.09320661425590515
265,0.8003416061401367
266,0.5
267,0.1589096188545227
268,Not Valid
269,Not Valid
270,0.8491408824920654
271,0.24385762214660645
272,Not Valid
273,0.8820368051528931
274,Not Valid
275,0.9749257564544678
276,0.5
277,0.1908503770828247
278,0.9018983840942383
279,Not Valid
280,Not Valid
281,0.5
282,0.8305420875549316
283,0.059335142374038696
284,Not Valid
285,0.5
286,Not Valid
287,0.14152157306671143
288,Not Valid
289,0.9126301407814026
290,Not Valid
291,0.03268274664878845
292,Not Valid
293,Not Valid
294,0.5
295,Not Valid
296,Not Valid
297,Not Valid
298,Not Valid
299,Not Valid
300,0.18387877941131592
301,0.16694757342338562
302,Not Valid
303,0.9069083333015442
304,0.2648690342903137
305,0.09547919034957886
306,Not Valid
307,0.08887144923210144
308,0.13096439838409424
309,Not Valid
310,0.9418245553970337
311,Not Valid
312,Not Valid
313,0.8340626358985901
314,Not Valid
315,Not Valid
316,0.06267741322517395
317,0.15231257677078247
318,Not Valid
319,Not Valid
320,Not Valid
321,0.5
322,0.07415175437927246
323,Not Valid
324,0.09037145972251892
325,Not Valid
326,Not Valid
327,Not Valid
328,Not Valid
329,0.15869691967964172
330,0.1166345477104187
331,0.7367697358131409
332,0.5
333,Not Valid
334,Not Valid
335,Not Valid
336,0.5
337,Not Valid
338,0.7559716701507568
339,Not Valid
340,Not Valid
341,Not Valid
342,Not Valid
343,0.1047167181968689
344,Not Valid
345,Not Valid
346,0.9672404527664185
347,Not Valid
348,0.9769890308380127
349,Not Valid
350,Not Valid
351,Not Valid
352,Not Valid
353,Not Valid
354,Not Valid
355,0.937250018119812
356,0.12110137939453125
357,0.06895071268081665
358,0.9754746556282043
359,0.5
360,Not Valid
361,Not Valid
362,Not Valid
363,Not Valid
364,Not Valid
365,0.2679901421070099
366,0.011030495166778564
367,0.8937687873840332
368,Not Valid
369,Not Valid
370,0.770443856716156
371,0.8019758462905884
372,Not Valid
373,0.5
374,0.8710657358169556
375,0.9691532850265503
376,0.5
377,0.9795159697532654
378,Not Valid
379,Not Valid
380,0.14395633339881897
381,Not Valid
382,0.23110541701316833
383,Not Valid
384,0.8980041742324829
385,Not Valid
386,Not Valid
387,0.1062375009059906
388,0.14585500955581665
389,0.07580897212028503
390,0.7126160264015198
391,Not Valid
392,0.11963126063346863
393,Not Valid
394,Not Valid
395,Not Valid
396,Not Valid
397,Not Valid
398,Not Valid
399,0.16691967844963074
400,0.5
401,0.00626179575920105
402,0.14208561182022095
403,Not Valid
404,0.7546167373657227
405,Not Valid
406,Not Valid
407,0.7327995896339417
408,Not Valid
409,Not Valid
410,0.022106647491455078
411,Not Valid
412,Not Valid
413,0.7478211522102356
414,Not Valid
415,Not Valid
416,Not Valid
417,Not Valid
418,Not Valid
419,0.17488983273506165
420,Not Valid
421,0.06782671809196472
422,Not Valid
423,Not Valid
424,Not Valid
425,Not Valid
426,Not Valid
427,Not Valid
428,Not Valid
429,0.8653614521026611
430,0.7609943747520447
431,Not Valid
432,Not Valid
433,Not Valid
434,0.2335624098777771
435,0.1532542109489441
436,Not Valid
437,0.5
438,0.07726612687110901
439,0.7360142469406128
440,Not Valid
441,0.24836784601211548
442,Not Valid
443,0.02964627742767334
444,0.13839271664619446
445,0.03692314028739929
446,0.5
447,0.955769419670105
448,Not Valid
449,Not Valid
450,Not Valid
451,Not Valid
452,Not Valid
453,0.0018836557865142822
454,0.13881507515907288
455,Not Valid
456,Not Valid
457,Not Valid
458,Not Valid
459,0.897631824016571
460,Not Valid
461,0.7996487617492676
462,Not Valid
463,Not Valid
464,Not Valid
465,Not Valid
466,0.5
467,Not Valid
468,0.5
469,Not Valid
470,0.04832172393798828
471,0.9158819913864136
472,Not Valid
473,0.9254715442657471
474,Not Valid
475,0.04605308175086975
476,0.006704241037368774
477,Not Valid
478,0.5
479,Not Valid
480,0.5
481,Not Valid
482,Not Valid
483,0.1565866470336914
484,Not Valid
485,Not Valid
486,Not Valid
487,Not Valid
488,0.03862166404724121
489,0.17103368043899536
490,0.08541414141654968
491,0.034284234046936035
492,0.22974923253059387
493,0.04402497410774231
494,Not Valid
495,Not Valid
496,Not Valid
497,0.008967369794845581
498,Not Valid
499,Not Valid
500,0.13923656940460205
501,0.22433701157569885
502,0.05581215023994446
503,0.03028130531311035
504,0.017780691385269165
505,Not Valid
506,0.20999526977539062
507,0.05337643623352051
508,0.8937253952026367
509,0.9369937181472778
510,0.22056099772453308
511,0.5
512,Not Valid
513,Not Valid
514,Not Valid
515,0.2001543939113617
516,Not Valid
517,0.11058008670806885
518,0.04376479983329773
519,0.060326337814331055
520,Not Valid
521,0.8825353980064392
522,0.9218277931213379
523,0.5
524,Not Valid
525,0.8382487297058105
526,0.09012448787689209
527,0.12368336319923401
528,0.8639844655990601
529,0.12410411238670349
530,Not Valid
531,0.8171119689941406
532,Not Valid
533,Not Valid
534,Not Valid
535,Not Valid
536,Not Valid
537,0.04229891300201416
538,0.08206033706665039
539,Not Valid
540,Not Valid
541,0.24734607338905334
542,0.18253669142723083
543,Not Valid
544,Not Valid
545,Not Valid
546,0.9631167650222778
547,0.5
548,Not Valid
549,0.9477742314338684
550,0.9381124973297119
551,Not Valid
552,Not Valid
553,0.9786876440048218
554,Not Valid
555,Not Valid
556,Not Valid
557,Not Valid
558,0.14479944109916687
559,Not Valid
560,Not Valid
561,Not Valid
562,Not Valid
563,Not Valid
564,0.9170597791671753
565,Not Valid
566,Not Valid
567,Not Valid
568,Not Valid
569,0.14038124680519104
570,0.24993056058883667
571,Not Valid
572,0.941924512386322
573,Not Valid
574,0.5
575,Not Valid
576,Not Valid
577,0.05783355236053467
578,Not Valid
579,0.09150788187980652
580,Not Valid
581,Not Valid
582,0.5
583,Not Valid
584,0.8745667934417725
585,0.5
586,Not Valid
587,0.20006072521209717
588,Not Valid
589,Not Valid
590,Not Valid
591,Not Valid
592,0.00626179575920105
593,0.003254443407058716
594,Not Valid
595,Not Valid
596,0.9244078993797302
597,0.02411586046218872
598,0.7805178761482239
599,Not Valid
600,Not Valid
601,0.7628312110900879
602,Not Valid
603,Not Valid
604,Not Valid
605,0.9734539985656738
606,Not Valid
607,Not Valid
608,Not Valid
609,0.8612945079803467
610,Not Valid
611,Not Valid
612,0.1401178538799286
613,Not Valid
614,0.1913154125213623
615,Not Valid
616,Not Valid
617,Not Valid
618,0.2540135383605957
619,Not Valid
620,Not Valid
621,0.9443912506103516
622,Not Valid
623,0.5
624,Not Valid
625,0.03288814425468445
626,0.8825684785842896
627,Not Valid
628,Not Valid
629,0.8255012035369873
630,0.12881487607955933
631,0.9382549524307251
632,0.9201757907867432
633,Not Valid
634,Not Valid
635,Not Valid
636,0.9931762218475342
637,0.8224872350692749
638,Not Valid
639,Not Valid
640,Not Valid
641,Not Valid
642,Not Valid
643,0.11756336688995361
644,Not Valid
645,Not Valid
646,0.5
647,Not Valid
648,Not Valid
649,0.21653059124946594
650,Not Valid
651,0.235752135515213
652,Not Valid
653,0.004373282194137573
654,0.09016504883766174
655,0.22342732548713684
656,0.8980016708374023
657,0.9463071227073669
658,0.9750125408172607
659,Not Valid
660,0.9415115118026733
661,Not Valid
662,Not Valid
663,Not Valid
664,0.5
665,0.9163209199905396
666,Not Valid
667,0.1562776267528534
668,Not Valid
669,Not Valid
670,Not Valid
671,Not Valid
672,Not Valid
673,Not Valid
674,Not Valid
675,Not Valid
676,Not Valid
677,0.8626964688301086
678,Not Valid
679,0.20448777079582214
680,Not Valid
681,Not Valid
682,0.07108774781227112
683,Not Valid
684,Not Valid
685,Not Valid
686,Not Valid
687,Not Valid
688,Not Valid
689,0.0995711088180542
690,Not Valid
691,Not Valid
692,0.792628288269043
693,0.034840404987335205
694,Not Valid
695,Not Valid
696,0.23872271180152893
697,Not Valid
698,0.8473329544067383
699,Not Valid
700,Not Valid
701,Not Valid
702,0.20772182941436768
703,0.7470187544822693
704,0.01565253734588623
705,0.23721516132354736
706,0.13467901945114136
707,0.023051679134368896
708,0.01100832223892212
709,Not Valid
710,Not Valid
711,Not Valid
712,0.03117308020591736
713,0.1947442889213562
714,0.7591325044631958
715,0.04721274971961975
716,Not Valid
717,Not Valid
718,Not Valid
719,Not Valid
720,0.7470215559005737
721,0.09325149655342102
722,0.8177309036254883
723,Not Valid
724,0.8243210315704346
725,0.18498533964157104
726,0.20601269602775574
727,Not Valid
728,0.7422733902931213
729,0.8669157028198242
730,0.11025121808052063
731,Not Valid
732,Not Valid
733,0.22206684947013855
734,0.15320083498954773
735,0.9657682180404663
736,0.9683173894882202
737,0.7322568297386169
738,0.8639366626739502
739,0.21451133489608765
740,Not Valid
741,0.9214080572128296
742,0.8999108672142029
743,0.5
744,Not Valid
745,Not Valid
746,0.14219391345977783
747,Not Valid
748,Not Valid
749,Not Valid
750,Not Valid
751,Not Valid
752,Not Valid
753,Not Valid
754,Not Valid
755,0.024754256010055542
756,Not Valid
757,Not Valid
758,0.23385927081108093
759,Not Valid
760,Not Valid
761,Not Valid
762,0.01810583472251892
763,0.23133975267410278
764,Not Valid
765,0.11759483814239502
766,Not Valid
767,0.02665996551513672
768,Not Valid
769,0.9466596841812134
770,Not Valid
771,0.13896039128303528
772,0.12613680958747864
773,0.16342666745185852
774,Not Valid
775,0.8268959522247314
776,0.5
777,0.06443753838539124
778,Not Valid
779,Not Valid
780,0.8243049383163452
781,Not Valid
782,0.839056134223938
783,Not Valid
784,0.5
785,0.3111758828163147
786,Not Valid
787,Not Valid
788,0.5
789,0.19375228881835938
790,Not Valid
791,Not Valid
792,Not Valid
793,Not Valid
794,Not Valid
795,Not Valid
796,Not Valid
797,Not Valid
798,0.06595659255981445
799,Not Valid
800,0.05874112248420715
801,0.12289941310882568
802,0.08112433552742004
803,0.1680591106414795
804,Not Valid
805,Not Valid
806,0.08330312371253967
807,Not Valid
808,Not Valid
809,0.03188788890838623
810,0.00879022479057312
811,0.5
812,Not Valid
813,0.8743119835853577
814,0.2537464499473572
815,Not Valid
816,Not Valid
817,Not Valid
818,Not Valid
819,Not Valid
820,Not Valid
821,0.07828500866889954
822,Not Valid
823,Not Valid
824,Not Valid
825,0.08713650703430176
826,0.8901243209838867
827,0.12574848532676697
828,0.12244462966918945
829,0.9276338219642639
830,0.7616062164306641
831,0.10876613855361938
832,Not Valid
833,Not Valid
834,0.1386953890323639
835,Not Valid
836,Not Valid
837,Not Valid
838,0.7247728705406189
839,0.8060625791549683
840,Not Valid
841,0.7842133641242981
842,Not Valid
843,0.9571455717086792
844,0.1992606222629547
845,0.8431669473648071
846,0.09456530213356018
847,Not Valid
848,Not Valid
849,Not Valid
850,Not Valid
851,0.07469043135643005
852,0.5
853,Not Valid
854,Not Valid
855,0.5
856,0.7621485590934753
857,Not Valid
858,Not Valid
859,Not Valid
860,Not Valid
861,0.1605369746685028
862,0.5
863,0.7456458806991577
864,Not Valid
865,0.9476686716079712
866,0.03378435969352722
867,Not Valid
868,0.8399016261100769
869,Not Valid
870,0.041539669036865234
871,Not Valid
872,Not Valid
873,0.18840959668159485
874,0.9975709319114685
875,0.10270527005195618
876,Not Valid
877,Not Valid
878,0.08911845088005066
879,Not Valid
880,0.1830388903617859
881,Not Valid
882,Not Valid
883,Not Valid
884,Not Valid
885,0.8435800075531006
886,0.18058329820632935
887,0.20559176802635193
888,0.23886144161224365
889,0.3058892488479614
890,0.04388275742530823
891,0.757543683052063
892,0.5
893,0.0725451409816742
894,0.1303650140762329
895,Not Valid
896,Not Valid
897,0.0077142417430877686
898,Not Valid
899,0.00860661268234253
900,Not Valid
901,Not Valid
902,Not Valid
903,Not Valid
904,Not Valid
905,Not Valid
906,0.2234785258769989
907,Not Valid
908,0.855491578578949
909,Not Valid
910,0.9106656908988953
911,Not Valid
912,0.07524707913398743
913,Not Valid
914,Not Valid
915,0.06211230158805847
916,0.8260982036590576
917,0.24185627698898315
918,0.08751243352890015
919,Not Valid
920,0.09499835968017578
921,Not Valid
922,Not Valid
923,Not Valid
924,Not Valid
925,0.7644437551498413
926,Not Valid
927,Not Valid
928,0.7596004009246826
929,0.03207853436470032
930,0.27761510014533997
931,Not Valid
932,Not Valid
933,Not Valid
934,Not Valid
935,0.976396381855011
936,Not Valid
937,0.5
938,0.9439949989318848
939,0.9387024641036987
940,Not Valid
941,0.18005278706550598
942,Not Valid
943,Not Valid
944,Not Valid
945,0.1151609718799591
946,Not Valid
947,Not Valid
948,Not Valid
949,Not Valid
950,0.9211030006408691
951,0.20251646637916565
952,0.5
953,Not Valid
954,0.5
955,0.21653100848197937
956,Not Valid
957,Not Valid
958,Not Valid
959,Not Valid
960,Not Valid
961,Not Valid
962,0.007451117038726807
963,Not Valid
964,0.04211932420730591
965,0.5
966,0.21330150961875916
967,Not Valid
968,0.2345341444015503
969,0.10278677940368652
970,0.6875692009925842
971,0.12672778964042664
972,Not Valid
973,0.07214760780334473
974,0.027510881423950195
975,Not Valid
976,Not Valid
977,0.9291584491729736
978,Not Valid
979,0.1304941177368164
980,Not Valid
981,Not Valid
982,0.05262678861618042
983,0.9893276691436768
984,Not Valid
985,0.9547573328018188
986,Not Valid
987,Not Valid
988,0.048899441957473755
989,0.9190961718559265
990,Not Valid
991,0.12957915663719177
992,0.5
993,0.21045124530792236
994,0.07971072196960449
995,0.22742608189582825
996,0.7853306531906128
997,Not Valid
998,Not Valid
999,0.7177835702896118
1000,Not Valid
1001,Not Valid
1002,Not Valid
1003,0.12936636805534363
1004,0.015585482120513916
1005,Not Valid
1006,0.81654953956604
1007,0.8659601211547852
1008,0.00626179575920105
1009,0.8316527605056763
1010,Not Valid
1011,Not Valid
1012,Not Valid
1013,0.7499831914901733
1014,0.6977701187133789
1015,0.22071734070777893
1016,Not Valid
1017,0.11047768592834473
1018,Not Valid
1019,0.8114601373672485
1020,Not Valid
1021,0.7504781484603882
1022,Not Valid
1023,0.9948864579200745
1024,Not Valid
1025,Not Valid
1026,0.8541148900985718
1027,Not Valid
1028,Not Valid
1029,Not Valid
1030,0.5
1031,Not Valid
1032,Not Valid
1033,Not Valid
1034,0.5
1035,Not Valid
1036,0.21043625473976135
1037,0.21649789810180664
1038,Not Valid
1039,Not Valid
1040,Not Valid
1041,0.05721062421798706
1042,0.12632638216018677
1043,0.7892442941665649
1044,Not Valid
1045,Not Valid
1046,Not Valid
1047,Not Valid
1048,0.6989098787307739
1049,Not Valid
1050,0.039742469787597656
1051,Not Valid
1052,0.13289785385131836
1053,Not Valid
1054,Not Valid
1055,0.06643357872962952
1056,0.8242323994636536
1057,0.7690054178237915
1058,Not Valid
1059,0.9938133955001831
1060,0.8573949337005615
1061,Not Valid
1062,0.06041601300239563
1063,0.020223170518875122
1064,0.5
1065,Not Valid
1066,Not Valid
1067,0.2179071307182312
1068,Not Valid
1069,0.5
1070,0.9579547643661499
1071,Not Valid
1072,0.23239678144454956
1073,Not Valid
1074,0.8761582374572754
1075,Not Valid
1076,Not Valid
1077,0.25168895721435547
1078,Not Valid
1079,0.1595427393913269
1080,Not Valid
1081,0.18521490693092346
1082,Not Valid
1083,0.9056024551391602
1084,Not Valid
1085,Not Valid
1086,Not Valid
1087,0.09129923582077026
1088,Not Valid
1089,0.016180455684661865
1090,Not Valid
1091,0.07240444421768188
1092,Not Valid
1093,Not Valid
1094,Not Valid
1095,Not Valid
1096,Not Valid
1097,0.10613688826560974
1098,0.15298762917518616
1099,0.10777655243873596
1100,Not Valid
1101,Not Valid
1102,Not Valid
1103,0.5
1104,0.035953909158706665
1105,0.07926997542381287
1106,0.5
1107,0.22416624426841736
1108,Not Valid
1109,Not Valid
1110,Not Valid
1111,0.1775893270969391
1112,0.06997948884963989
1113,0.8718246221542358
1114,Not Valid
1115,Not Valid
1116,0.17277780175209045
1117,Not Valid
1118,0.06609421968460083
1119,0.13226592540740967
1120,0.021971851587295532
1121,0.009870260953903198
1122,Not Valid
1123,Not Valid
1124,Not Valid
1125,0.22756049036979675
1126,Not Valid
1127,Not Valid
1128,Not Valid
1129,Not Valid
1130,0.8717342615127563
1131,0.9522145986557007
1132,0.17217302322387695
1133,0.5
1134,Not Valid
1135,Not Valid
1136,Not Valid
1137,0.0627257227897644
1138,0.5
1139,0.5
1140,0.22367379069328308
1141,Not Valid
1142,0.13443583250045776
1143,Not Valid
1144,Not Valid
1145,0.8495475053787231
1146,Not Valid
1147,0.8179375529289246
1148,Not Valid
1149,Not Valid
1150,0.5
1151,0.0318143367767334
1152,0.021442711353302002
1153,0.1583707630634308
1154,0.5
1155,0.12409260869026184
1156,Not Valid
1157,0.8229589462280273
1158,Not Valid
1159,Not Valid
1160,Not Valid
1161,Not Valid
1162,0.8166149854660034
1163,0.16197937726974487
1164,Not Valid
1165,0.24209505319595337
1166,Not Valid
1167,0.12147623300552368
1168,0.20106464624404907
1169,Not Valid
1170,Not Valid
1171,Not Valid
1172,0.20801305770874023
1173,Not Valid
1174,0.23736053705215454
1175,0.22958144545555115
1176,Not Valid
1177,0.9648816585540771
1178,Not Valid
1179,Not Valid
1180,Not Valid
1181,Not Valid
1182,Not Valid
1183,0.8071961402893066
1184,Not Valid
1185,Not Valid
1186,Not Valid
1187,0.14833170175552368
1188,0.04033026099205017
1189,Not Valid
1190,0.031736671924591064
1191,Not Valid
1192,0.9768682718276978
1193,Not Valid
1194,Not Valid
1195,Not Valid
1196,Not Valid
1197,0.5
1198,Not Valid
1199,Not Valid
1200,0.5
1201,0.20506328344345093
1202,Not Valid
1203,Not Valid
1204,Not Valid
1205,0.23416879773139954
1206,Not Valid
1207,Not Valid
1208,0.05786439776420593
1209,Not Valid
1210,0.9049305319786072
1211,Not Valid
1212,0.5
1213,Not Valid
1214,Not Valid
1215,0.7962507605552673
1216,0.17494836449623108
1217,0.7448933720588684
1218,0.5
1219,Not Valid
1220,0.5
1221,0.01062580943107605
1222,0.20530632138252258
1223,Not Valid
1224,Not Valid
1225,Not Valid
1226,0.0009597241878509521
1227,0.7573615908622742
1228,0.041656434535980225
1229,Not Valid
1230,Not Valid
1231,Not Valid
1232,0.17139533162117004
1233,0.18207988142967224
1234,Not Valid
1235,Not Valid
1236,0.03013816475868225
1237,0.21231165528297424
1238,0.11082953214645386
1239,Not Valid
1240,0.2143068015575409
1241,Not Valid
1242,Not Valid
1243,Not Valid
1244,0.5
1245,Not Valid
1246,0.8114128112792969
1247,0.9023122787475586
1248,Not Valid
1249,0.06686729192733765
1250,0.00626179575920105
1251,0.037299394607543945
1252,Not Valid
1253,0.5
1254,0.993338942527771
1255,0.9723371267318726
1256,Not Valid
1257,0.9253581166267395
1258,0.06488615274429321
1259,Not Valid
1260,0.9768682718276978
1261,Not Valid
1262,Not Valid
1263,0.9522956609725952
1264,0.17736059427261353
1265,0.9722793698310852
1266,0.008853107690811157
1267,0.9341534972190857
1268,0.5
1269,0.0801129937171936
1270,Not Valid
1271,Not Valid
1272,Not Valid
1273,0.9771576523780823
1274,0.04434427618980408
1275,0.7783390283584595
1276,0.23458978533744812
1277,Not Valid
1278,Not Valid
1279,0.11365032196044922
1280,Not Valid
1281,Not Valid
1282,Not Valid
1283,Not Valid
1284,0.9780426025390625
1285,Not Valid
1286,0.9694976806640625
1287,0.8677561283111572
1288,Not Valid
1289,0.2277744710445404
1290,0.11908680200576782
1291,Not Valid
1292,Not Valid
1293,Not Valid
1294,Not Valid
1295,0.04160839319229126
1296,Not Valid
1297,Not Valid
1298,0.030247896909713745
1299,0.04064098000526428
1300,Not Valid
1301,Not Valid
1302,0.03231412172317505
1303,Not Valid
1304,0.2210722267627716
1305,Not Valid
1306,Not Valid
1307,0.9874434471130371
1308,0.969354510307312
1309,0.055463701486587524
1310,Not Valid
1311,Not Valid
1312,Not Valid
1313,0.8665924072265625
1314,Not Valid
1315,Not Valid
1316,Not Valid
1317,Not Valid
1318,Not Valid
1319,Not Valid
1320,Not Valid
1321,0.9768682718276978
1322,0.0239352285861969
1323,0.04511457681655884
1324,0.024043023586273193
1325,0.05362352728843689
1326,0.8665838837623596
1327,Not Valid
1328,Not Valid
1329,0.12605297565460205
1330,Not Valid
1331,Not Valid
1332,Not Valid
1333,Not Valid
1334,Not Valid
1335,Not Valid
1336,Not Valid
1337,Not Valid
1338,Not Valid
1339,Not Valid
1340,0.05717802047729492
1341,0.158083975315094
1342,Not Valid
1343,Not Valid
1344,0.020623713731765747
1345,0.09224456548690796
1346,Not Valid
1347,0.78839111328125
1348,0.06669539213180542
1349,Not Valid
1350,Not Valid
1351,Not Valid
1352,Not Valid
1353,Not Valid
1354,Not Valid
1355,Not Valid
1356,Not Valid
1357,0.5
1358,0.11263805627822876
1359,Not Valid
1360,Not Valid
1361,0.5
1362,Not Valid
1363,Not Valid
1364,Not Valid
1365,Not Valid
1366,Not Valid
1367,0.874272346496582
1368,0.9730435013771057
1369,Not Valid
1370,0.04537391662597656
1371,Not Valid
1372,Not Valid
1373,0.19109854102134705
1374,0.8219568729400635
1375,Not Valid
1376,Not Valid
1377,0.7425976991653442
1378,0.2017621397972107
1379,Not Valid
1380,Not Valid
1381,0.15196186304092407
1382,0.0688219964504242
1383,Not Valid
1384,Not Valid
1385,0.1148853600025177
1386,0.7520278096199036
1387,0.9320610761642456
1388,0.061512500047683716
1389,0.9272232055664062
1390,Not Valid
1391,Not Valid
1392,0.03673604130744934
1393,Not Valid
1394,0.797435998916626
1395,Not Valid
1396,0.8311885595321655
1397,0.04881709814071655
1398,0.9022457599639893
1399,0.06481671333312988
1400,Not Valid
1401,0.8526881337165833
1402,0.9551095366477966
1403,Not Valid
1404,Not Valid
1405,0.7042771577835083
1406,Not Valid
1407,0.20519804954528809
1408,0.7391877174377441
1409,Not Valid
1410,Not Valid
1411,0.16604956984519958
1412,Not Valid
1413,0.9184244871139526
1414,0.16932222247123718
1415,0.814734697341919
1416,0.19761398434638977
1417,0.8922911286354065
1418,0.011987864971160889
1419,0.09944853186607361
1420,0.7461004257202148
1421,Not Valid
1422,0.12158551812171936
1423,0.7461511492729187
1424,Not Valid
1425,0.056817203760147095
1426,Not Valid
1427,Not Valid
1428,Not Valid
1429,Not Valid
1430,0.5
1431,Not Valid
1432,0.2072710394859314
1433,Not Valid
1434,0.9825112819671631
1435,Not Valid
1436,Not Valid
1437,0.7678838968276978
1438,0.7624311447143555
1439,0.08720088005065918
1440,0.2669505178928375
1441,0.10003608465194702
1442,Not Valid
1443,Not Valid
1444,Not Valid
1445,Not Valid
1446,Not Valid
1447,Not Valid
1448,Not Valid
1449,0.047494202852249146
1450,Not Valid
1451,Not Valid
1452,Not Valid
1453,0.9401355385780334
1454,0.07656976580619812
1455,Not Valid
1456,0.5
1457,Not Valid
1458,Not Valid
1459,Not Valid
1460,Not Valid
1461,Not Valid
1462,Not Valid
1463,Not Valid
1464,Not Valid
1465,Not Valid
1466,Not Valid
1467,0.19650235772132874
1468,Not Valid
1469,0.11806491017341614
1470,Not Valid
1471,0.03097975254058838
1472,Not Valid
1473,0.20450779795646667
1474,0.14948448538780212
