,sentiments_y
599,Not Valid
600,Not Valid
601,Not Valid
602,Not Valid
603,Not Valid
604,Not Valid
605,Not Valid
606,Not Valid
607,Not Valid
608,Not Valid
609,Not Valid
610,Not Valid
611,Not Valid
612,Not Valid
613,Not Valid
614,Not Valid
615,Not Valid
616,Not Valid
617,Not Valid
618,Not Valid
619,Not Valid
620,Not Valid
621,Not Valid
622,Not Valid
623,Not Valid
624,Not Valid
625,Not Valid
626,Not Valid
627,Not Valid
628,Not Valid
629,Not Valid
630,Not Valid
631,Not Valid
632,Not Valid
633,Not Valid
634,Not Valid
635,Not Valid
636,Not Valid
637,Not Valid
638,Not Valid
639,Not Valid
640,Not Valid
641,Not Valid
642,Not Valid
643,Not Valid
644,Not Valid
645,Not Valid
646,Not Valid
647,Not Valid
648,Not Valid
649,Not Valid
650,Not Valid
651,Not Valid
652,Not Valid
653,Not Valid
654,Not Valid
655,Not Valid
656,Not Valid
657,Not Valid
658,Not Valid
659,Not Valid
660,Not Valid
661,Not Valid
662,Not Valid
663,Not Valid
664,Not Valid
665,Not Valid
666,Not Valid
667,Not Valid
668,Not Valid
669,Not Valid
670,Not Valid
671,Not Valid
672,Not Valid
673,Not Valid
674,Not Valid
675,Not Valid
676,Not Valid
677,Not Valid
678,Not Valid
679,Not Valid
680,Not Valid
681,Not Valid
682,Not Valid
683,Not Valid
684,Not Valid
685,Not Valid
686,Not Valid
687,Not Valid
688,Not Valid
689,Not Valid
690,Not Valid
691,Not Valid
692,Not Valid
693,Not Valid
694,Not Valid
695,Not Valid
696,Not Valid
697,Not Valid
698,Not Valid
699,Not Valid
700,Not Valid
701,Not Valid
702,Not Valid
703,Not Valid
704,Not Valid
705,Not Valid
706,Not Valid
707,Not Valid
708,Not Valid
709,Not Valid
710,Not Valid
711,Not Valid
712,Not Valid
713,Not Valid
714,Not Valid
715,Not Valid
716,Not Valid
717,Not Valid
718,Not Valid
719,Not Valid
720,Not Valid
721,0.21155452728271484
722,Not Valid
723,Not Valid
724,Not Valid
725,0.8551764488220215
726,0.5
727,Not Valid
728,Not Valid
729,Not Valid
730,Not Valid
731,Not Valid
732,Not Valid
733,Not Valid
734,Not Valid
735,Not Valid
736,Not Valid
737,Not Valid
738,Not Valid
739,Not Valid
740,Not Valid
741,Not Valid
742,Not Valid
743,Not Valid
744,Not Valid
745,Not Valid
746,Not Valid
747,Not Valid
748,Not Valid
749,Not Valid
750,Not Valid
751,Not Valid
752,Not Valid
753,Not Valid
754,Not Valid
755,Not Valid
756,Not Valid
757,Not Valid
758,Not Valid
759,Not Valid
760,Not Valid
761,Not Valid
762,Not Valid
763,Not Valid
764,Not Valid
765,Not Valid
766,Not Valid
767,Not Valid
768,Not Valid
769,Not Valid
770,Not Valid
771,Not Valid
772,Not Valid
773,Not Valid
774,Not Valid
775,Not Valid
776,Not Valid
777,Not Valid
778,Not Valid
779,Not Valid
780,Not Valid
781,Not Valid
782,Not Valid
783,Not Valid
784,Not Valid
785,Not Valid
786,Not Valid
787,Not Valid
788,Not Valid
789,Not Valid
790,Not Valid
791,Not Valid
792,Not Valid
793,Not Valid
794,Not Valid
795,Not Valid
796,Not Valid
797,Not Valid
798,Not Valid
799,Not Valid
800,Not Valid
801,Not Valid
802,Not Valid
803,Not Valid
804,Not Valid
805,Not Valid
806,Not Valid
807,Not Valid
808,Not Valid
809,Not Valid
810,Not Valid
811,Not Valid
812,Not Valid
813,Not Valid
814,Not Valid
815,Not Valid
816,Not Valid
817,Not Valid
818,Not Valid
819,Not Valid
820,Not Valid
821,Not Valid
822,Not Valid
823,Not Valid
824,Not Valid
825,Not Valid
826,Not Valid
827,Not Valid
828,Not Valid
829,Not Valid
830,Not Valid
831,Not Valid
832,Not Valid
833,Not Valid
834,Not Valid
835,Not Valid
836,Not Valid
837,Not Valid
838,Not Valid
839,Not Valid
840,Not Valid
841,Not Valid
842,Not Valid
843,Not Valid
844,Not Valid
845,Not Valid
846,Not Valid
847,Not Valid
848,Not Valid
849,Not Valid
850,Not Valid
851,Not Valid
852,Not Valid
853,Not Valid
854,Not Valid
855,Not Valid
856,Not Valid
857,Not Valid
858,Not Valid
859,Not Valid
860,Not Valid
861,Not Valid
862,Not Valid
863,Not Valid
864,Not Valid
865,Not Valid
866,Not Valid
867,Not Valid
868,Not Valid
869,Not Valid
870,Not Valid
871,Not Valid
872,0.9502407908439636
873,Not Valid
874,Not Valid
875,Not Valid
876,0.8346738815307617
877,Not Valid
878,Not Valid
879,Not Valid
880,Not Valid
881,Not Valid
882,Not Valid
883,Not Valid
884,Not Valid
885,Not Valid
886,Not Valid
887,Not Valid
888,Not Valid
889,Not Valid
890,Not Valid
891,Not Valid
892,Not Valid
893,Not Valid
894,Not Valid
895,Not Valid
896,Not Valid
897,Not Valid
898,Not Valid
899,Not Valid
900,Not Valid
901,Not Valid
902,Not Valid
903,Not Valid
904,Not Valid
905,Not Valid
906,Not Valid
907,Not Valid
908,Not Valid
909,Not Valid
910,Not Valid
911,Not Valid
912,Not Valid
913,Not Valid
914,Not Valid
915,Not Valid
916,Not Valid
917,Not Valid
918,Not Valid
919,Not Valid
920,Not Valid
921,Not Valid
922,Not Valid
923,Not Valid
924,Not Valid
925,Not Valid
926,Not Valid
927,Not Valid
928,Not Valid
929,Not Valid
930,Not Valid
931,Not Valid
932,Not Valid
933,Not Valid
934,Not Valid
935,Not Valid
936,Not Valid
937,Not Valid
938,Not Valid
939,Not Valid
940,Not Valid
941,Not Valid
942,Not Valid
943,Not Valid
944,Not Valid
945,Not Valid
946,Not Valid
947,Not Valid
948,Not Valid
949,Not Valid
950,Not Valid
951,Not Valid
952,Not Valid
953,Not Valid
954,Not Valid
955,Not Valid
956,Not Valid
957,Not Valid
958,Not Valid
959,Not Valid
960,Not Valid
961,Not Valid
962,Not Valid
963,Not Valid
964,Not Valid
965,Not Valid
966,Not Valid
967,Not Valid
968,Not Valid
969,Not Valid
970,Not Valid
971,Not Valid
972,Not Valid
973,Not Valid
974,Not Valid
975,Not Valid
976,Not Valid
977,Not Valid
978,Not Valid
979,Not Valid
980,Not Valid
981,Not Valid
982,Not Valid
983,Not Valid
984,Not Valid
985,Not Valid
986,Not Valid
987,Not Valid
988,Not Valid
989,Not Valid
990,Not Valid
991,Not Valid
992,Not Valid
993,Not Valid
994,Not Valid
995,Not Valid
996,Not Valid
997,Not Valid
998,Not Valid
999,Not Valid
1000,Not Valid
1001,Not Valid
1002,Not Valid
1003,Not Valid
1004,Not Valid
1005,Not Valid
1006,Not Valid
1007,Not Valid
1008,Not Valid
1009,Not Valid
1010,Not Valid
1011,Not Valid
1012,Not Valid
1013,Not Valid
1014,Not Valid
1015,Not Valid
1016,Not Valid
1017,Not Valid
1018,Not Valid
1019,Not Valid
1020,Not Valid
1021,Not Valid
1022,Not Valid
1023,Not Valid
1024,Not Valid
1025,Not Valid
1026,Not Valid
1027,Not Valid
1028,Not Valid
1029,Not Valid
1030,Not Valid
1031,Not Valid
1032,Not Valid
1033,Not Valid
1034,Not Valid
1035,Not Valid
1036,Not Valid
1037,Not Valid
1038,Not Valid
1039,Not Valid
1040,Not Valid
1041,Not Valid
1042,Not Valid
1043,Not Valid
1044,Not Valid
1045,Not Valid
1046,Not Valid
1047,Not Valid
1048,Not Valid
1049,Not Valid
1050,Not Valid
1051,Not Valid
1052,Not Valid
1053,Not Valid
1054,Not Valid
1055,Not Valid
1056,Not Valid
1057,Not Valid
1058,Not Valid
1059,Not Valid
1060,Not Valid
1061,Not Valid
1062,Not Valid
1063,Not Valid
1064,Not Valid
1065,Not Valid
1066,Not Valid
1067,Not Valid
1068,Not Valid
1069,Not Valid
1070,Not Valid
1071,Not Valid
1072,Not Valid
1073,Not Valid
1074,Not Valid
1075,Not Valid
1076,Not Valid
1077,Not Valid
1078,Not Valid
1079,Not Valid
1080,Not Valid
1081,Not Valid
1082,Not Valid
1083,Not Valid
1084,Not Valid
1085,Not Valid
1086,Not Valid
1087,Not Valid
1088,Not Valid
1089,Not Valid
1090,Not Valid
1091,Not Valid
1092,Not Valid
1093,Not Valid
1094,Not Valid
1095,Not Valid
1096,Not Valid
1097,Not Valid
1098,Not Valid
1099,Not Valid
1100,Not Valid
1101,Not Valid
1102,Not Valid
1103,Not Valid
1104,Not Valid
1105,Not Valid
1106,Not Valid
1107,Not Valid
1108,Not Valid
1109,Not Valid
1110,Not Valid
1111,Not Valid
1112,Not Valid
1113,Not Valid
1114,Not Valid
1115,Not Valid
1116,Not Valid
1117,Not Valid
1118,Not Valid
1119,Not Valid
1120,Not Valid
1121,Not Valid
1122,Not Valid
1123,Not Valid
1124,Not Valid
1125,Not Valid
1126,Not Valid
1127,Not Valid
1128,Not Valid
1129,Not Valid
1130,Not Valid
1131,Not Valid
1132,Not Valid
1133,0.962137758731842
1134,Not Valid
1135,Not Valid
1136,Not Valid
1137,0.0962168276309967
1138,Not Valid
1139,Not Valid
